Harga,"Kamar Tidur","Kamar Mandi",Garasi,"Luas Tanah","Luas Bangunan",Lokasi
860000000,2,2,0,72,72,Cimanggis
950000000,3,2,0,84,114,"Pancoran Mas"
1350000000,3,3,0,90,70,Sukmajaya
940000000,3,2,0,72,67,"Pancoran Mas"
740000000,2,1,0,105,85,Sawangan
540000000,2,2,0,72,65,Sawangan
1570000000,5,3,0,90,120,Limo
1420000000,4,3,0,150,200,"Pancoran Mas"
1240000000,4,2,0,75,100,"Pancoran Mas"
1030000000,2,2,0,103,100,"Pancoran Mas"
1030000000,2,2,0,103,100,Limo
1880000000,3,2,0,238,238,"Pancoran Mas"
1330000000,3,2,0,73,83,Cilodong
1370000000,3,2,2,77,90,"Kelapa Dua"
635000000,2,1,1,85,76,Cilodong
899000000,3,2,1,160,120,Sukmajaya
855000000,3,2,1,74,80,Sawangan
1350000000,3,3,2,84,95,"Pancoran Mas"
1510000000,3,2,0,128,81,Sawangan
880000000,2,2,0,84,52,Cinere
1770000000,3,2,0,75,84,Cinere
1990000000,4,3,0,90,110,Cinere
860000000,3,1,0,66,55,Sawangan
500000000,2,1,0,120,80,"Pancoran Mas"
1200000000,2,1,1,62,52,Cimanggis
500000000,2,1,0,120,80,Sawangan
1440000000,3,2,0,94,58,Sukmajaya
680000000,3,2,0,66,77,Sawangan
1400000000,3,2,0,77,90,Cimanggis
1040000000,3,2,0,72,80,Sawangan
500000000,2,1,0,84,54,Sawangan
1300000000,3,2,1,62,83,Cinere
1030000000,2,2,0,103,100,Sawangan
780000000,2,2,0,90,60,Sawangan
750000000,2,1,0,83,70,Sawangan
1000000000,2,3,0,133,100,Sawangan
1280000000,2,1,0,86,60,Cinere
1400000000,3,2,0,90,63,Sawangan
1730000000,5,3,0,90,120,Cinere
740000000,2,1,0,105,85,"Pancoran Mas"
540000000,2,2,0,72,65,"Pancoran Mas"
1880000000,3,2,0,126,160,Cinere
780000000,2,2,0,100,72,Limo
1660000000,4,3,0,88,113,Cinere
1680000000,4,4,0,82,135,Beji
1660000000,4,4,0,208,200,Cinere
720000000,2,1,0,72,72,Cinere
